,chain,uri,success,error
56,imversed,https://static.imversed.com/mainnet/genesis.json,false,HTTP Error 403: Forbidden
57,imversed,https://static.imversed.com/mainnet/genesis.json,true,NaN
58,kichain,https://raw.githubusercontent.com/KiFoundation/ki-networks/v0.1/Mainnet/kichain-2/genesis.json,true,NaN
59,bostrom,https://cloudflare-ipfs.com/ipfs/QmYubyVNfghD4xCrTFj26zBwrF9s5GJhi1TmxvrwmJCipr,true,NaN
60,nomic,https://raw.githubusercontent.com/nomic-io/nomic/develop/genesis.json,false,HTTP Error 404: Not Found
61,nomic,https://raw.githubusercontent.com/nomic-io/nomic/develop/genesis.json,true,NaN
62,bitsong,https://raw.githubusercontent.com/bitsongofficial/networks/master/bitsong-2b/genesis.json,true,NaN
63,fetchhub,https://raw.githubusercontent.com/fetchai/genesis-fetchhub/fetchhub-4/fetchhub-4/data/genesis_migrated_5300200.json,true,NaN
64,assetmantle,https://raw.githubusercontent.com/AssetMantle/genesisTransactions/main/mantle-1/final_genesis.json,true,NaN
65,sentinel,https://raw.githubusercontent.com/sentinel-official/networks/main/sentinelhub-2/genesis.zip,false,'utf-8' codec can't decode byte 0x97 in position 11: invalid start byte
66,sentinel,https://raw.githubusercontent.com/sentinel-official/networks/main/sentinelhub-2/genesis.zip,true,NaN
67,osmosis,https://github.com/osmosis-labs/networks/raw/main/osmosis-1/genesis.json,true,NaN
68,bitcanna,https://raw.githubusercontent.com/BitCannaGlobal/bcna/main/genesis.json,true,NaN
69,omniflixhub,https://raw.githubusercontent.com/OmniFlix/mainnet/main/omniflixhub-1/genesis.json,true,NaN
70,rizon,https://raw.githubusercontent.com/rizon-world/mainnet/master/genesis.json,true,NaN
71,tgrade,https://raw.githubusercontent.com/confio/tgrade-networks/main/mainnet-1/config/genesis.json,true,NaN
72,beezee,https://raw.githubusercontent.com/bze-alphateam/bze/main/genesis.json,true,NaN
73,ethos,,false,unknown url type: ''
74,ethos,,true,NaN
75,xpla,https://github.com/xpladev/mainnet/blob/main/dimension_37-1/genesis.json,false,Expecting value: line 8 column 1 (char 7)
76,xpla,https://github.com/xpladev/mainnet/blob/main/dimension_37-1/genesis.json,true,NaN
77,provenance,https://raw.githubusercontent.com/provenance-io/mainnet/main/pio-mainnet-1/genesis.json,true,NaN
78,evmos,https://archive.evmos.org/mainnet/genesis.json,false,HTTP Error 403: Forbidden
79,evmos,https://archive.evmos.org/mainnet/genesis.json,true,NaN
80,onomy,https://raw.githubusercontent.com/onomyprotocol/onomy/main/genesis/mainnet/genesis-mainnet-1.json,true,NaN
81,dig,https://raw.githubusercontent.com/notional-labs/dig/master/networks/mainnets/dig-1/genesis.json,true,NaN
82,mythos,,false,unknown url type: ''
83,mythos,,true,NaN
84,planq,https://raw.githubusercontent.com/planq-network/networks/main/mainnet/genesis.json,true,NaN
85,panacea,https://github.com/medibloc/panacea-mainnet/raw/master/panacea-3/genesis.json,true,NaN
86,persistence,https://raw.githubusercontent.com/persistenceOne/genesisTransactions/master/core-1/final_genesis.json,true,NaN
87,gravitybridge,https://raw.githubusercontent.com/Gravity-Bridge/Gravity-Docs/main/genesis.json,true,NaN
88,canto,https://raw.githubusercontent.com/Canto-Network/Canto/genesis/Networks/Mainnet/genesis.json,true,NaN
89,kujira,https://github.com/Team-Kujira/networks/raw/master/mainnet/kaiyo-1.json,true,NaN
90,crescent,https://github.com/crescent-network/launch/raw/main/mainnet/crescent-1/genesis.json.tar.gz,false,'utf-8' codec can't decode byte 0x8b in position 1: invalid start byte
91,crescent,https://github.com/crescent-network/launch/raw/main/mainnet/crescent-1/genesis.json.tar.gz,true,NaN
92,commercionetwork,https://raw.githubusercontent.com/commercionetwork/chains/master/commercio-3/genesis.json,true,NaN
93,lambda,https://raw.githubusercontent.com/LambdaIM/mainnet/main/lambda_92000-1/genesis.json,true,NaN
94,likecoin,https://raw.githubusercontent.com/likecoin/mainnet/982c14399089950a59d3ebbedcbbc7ead6040457/genesis.json,true,NaN
95,secretnetwork,https://github.com/scrtlabs/SecretNetwork/releases/download/v1.2.0/genesis.json,true,NaN
96,cerberus,https://raw.githubusercontent.com/cerberus-zone/cerberus_genesis/main/genesis.json,true,NaN
97,lumnetwork,https://raw.githubusercontent.com/lum-network/mainnet/master/genesis.json,true,NaN
98,quicksilver,https://github.com/ingenuity-build/mainnet/raw/main/genesis.json,true,NaN
99,bluzelle,https://a.client.sentry.net.bluzelle.com:26657/genesis,true,NaN
100,injective,https://raw.githubusercontent.com/InjectiveLabs/mainnet-config/master/10001/genesis.json,true,NaN
101,stafihub,https://raw.githubusercontent.com/stafihub/network/main/mainnets/stafihub-1(dragonberry)/genesis.json,true,NaN
102,vidulum,https://raw.githubusercontent.com/vidulum/mainnet/main/genesis.json,true,NaN
103,emoney,https://raw.githubusercontent.com/e-money/networks/master/emoney-3/genesis.json,true,NaN
104,oraichain,https://raw.githubusercontent.com/oraichain/oraichain-static-files/master/mainnet-static-files/genesis.json,false,HTTP Error 404: Not Found
105,oraichain,https://raw.githubusercontent.com/oraichain/oraichain-static-files/master/mainnet-static-files/genesis.json,true,NaN
106,cheqd,https://raw.githubusercontent.com/cheqd/cheqd-node/main/networks/mainnet/genesis.json,true,NaN
107,chimba,https://rpc.mainnet.chimbablockchain.io/genesis,true,NaN
108,shareledger,https://github.com/ShareRing/Shareledger/releases/download/v1.2.0/genesis.json,true,NaN
109,8ball,https://8ball.info/8ball-genesis.json,true,NaN
